ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMensajesTest	vermensajestest	1590958749112	 	3.3.1
REQUEST	219		Welcome	1590958752366	1590958752369	OK	 
USER	VerMensajesTestNegativo	220	START	1590958752398	1590958752398
USER	VerMensajeTestPositivo	180	START	1590958752398	1590958752398
REQUEST	220		Welcome	1590958752398	1590958752400	OK	 
REQUEST	180		Welcome	1590958752398	1590958752400	OK	 
USER	VerMensajesTestNegativo	221	START	1590958752419	1590958752419
USER	VerMensajeTestPositivo	181	START	1590958752419	1590958752419
REQUEST	181		Welcome	1590958752419	1590958752422	OK	 
REQUEST	221		Welcome	1590958752419	1590958752421	OK	 
USER	VerMensajesTestNegativo	222	START	1590958752452	1590958752452
USER	VerMensajeTestPositivo	182	START	1590958752452	1590958752452
REQUEST	222		Welcome	1590958752452	1590958752455	OK	 
REQUEST	182		Welcome	1590958752452	1590958752455	OK	 
USER	VerMensajesTestNegativo	223	START	1590958752466	1590958752466
USER	VerMensajeTestPositivo	183	START	1590958752466	1590958752466
REQUEST	183		Welcome	1590958752467	1590958752469	OK	 
REQUEST	223		Welcome	1590958752467	1590958752469	OK	 
USER	VerMensajeTestPositivo	184	START	1590958752499	1590958752499
USER	VerMensajesTestNegativo	224	START	1590958752499	1590958752499
REQUEST	184		Welcome	1590958752499	1590958752504	OK	 
REQUEST	224		Welcome	1590958752499	1590958752504	OK	 
USER	VerMensajeTestPositivo	185	START	1590958752521	1590958752521
USER	VerMensajesTestNegativo	225	START	1590958752521	1590958752521
REQUEST	185		Welcome	1590958752522	1590958752527	OK	 
REQUEST	225		Welcome	1590958752522	1590958752527	OK	 
USER	VerMensajesTestNegativo	226	START	1590958752546	1590958752546
USER	VerMensajeTestPositivo	186	START	1590958752546	1590958752546
REQUEST	186		Welcome	1590958752547	1590958752550	OK	 
REQUEST	226		Welcome	1590958752547	1590958752550	OK	 
USER	VerMensajeTestPositivo	187	START	1590958752569	1590958752569
USER	VerMensajesTestNegativo	227	START	1590958752569	1590958752569
REQUEST	187		Welcome	1590958752569	1590958752571	OK	 
