ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590851688957	 	3.3.1
REQUEST	210		Home	1590851695251	1590851695254	OK	 
USER	VerDashboardNegativo	231	START	1590851695305	1590851695305
USER	VerDashboardPositivo	211	START	1590851695305	1590851695305
REQUEST	231		Home	1590851695305	1590851695308	OK	 
REQUEST	211		Home	1590851695305	1590851695308	OK	 
USER	VerDashboardPositivo	212	START	1590851695351	1590851695351
USER	VerDashboardNegativo	232	START	1590851695351	1590851695351
REQUEST	212		Home	1590851695351	1590851695354	OK	 
REQUEST	232		Home	1590851695351	1590851695354	OK	 
USER	VerDashboardPositivo	213	START	1590851695402	1590851695402
USER	VerDashboardNegativo	233	START	1590851695402	1590851695402
REQUEST	213		Home	1590851695402	1590851695406	OK	 
REQUEST	233		Home	1590851695402	1590851695406	OK	 
USER	VerDashboardPositivo	214	START	1590851695455	1590851695455
USER	VerDashboardNegativo	234	START	1590851695455	1590851695455
REQUEST	234		Home	1590851695456	1590851695460	OK	 
REQUEST	214		Home	1590851695456	1590851695460	OK	 
USER	VerDashboardNegativo	235	START	1590851695500	1590851695500
USER	VerDashboardPositivo	215	START	1590851695500	1590851695500
